name,url,adress,phone,schedule,nb_reviews,global_rating,Food_rating,Service_rating,Value_rating,Atmosphere_rating,Meals_detail,FEATURES_detail,CUISINES_detail,Special Diets_detail,priceMin,priceMax
Oscar Lunch Diner,https://www.tripadvisor.in//Restaurant_Review-g196537-d4411766-Reviews-Oscar_Lunch_Diner-Vannes_Morbihan_Brittany.html,"6 rue Gay Lussac, 56000, Vannes France",+33 2 97 46 48 66, Closed now: ,135,4.0,4.0,4.0,4.0,3.5,"Lunch, Dinner, After-hours","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Full Bar",French,,,
My Thailand,https://www.tripadvisor.in//Restaurant_Review-g196537-d16696382-Reviews-My_Thailand-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le Sixtine,https://www.tripadvisor.in//Restaurant_Review-g196537-d14013129-Reviews-Le_Sixtine-Vannes_Morbihan_Brittany.html,"17 rue Saint Guenhael, 56000, Vannes France",+33 2 90 79 09 34,,45,4.5,4.5,5.0,4.5,,"Lunch, Brunch, Breakfast",,French,Vegetarian Friendly,,
L'Atelier Bistrot,https://www.tripadvisor.in//Restaurant_Review-g196537-d21374158-Reviews-L_Atelier_Bistrot-Vannes_Morbihan_Brittany.html,"5 rue de la Monnaie, 56000, Vannes France",+33 2 97 54 31 18, Closed now: ,21,5.0,5.0,5.0,4.5,,"Lunch, Breakfast, Dinner, After-hours, Drinks",,"French, Bar, Cafe, European, Dining bars, Healthy",,10.0,30.0
My Couscous,https://www.tripadvisor.in//Restaurant_Review-g196537-d22954088-Reviews-My_Couscous-Vannes_Morbihan_Brittany.html,"9 Passage de Fareham, 56000, Vannes France",+33 2 97 26 62 60, Closed now: ,22,5.0,5.0,5.0,5.0,,"Lunch, Dinner, After-hours","Takeout, Reservations, Delivery","Algerian, Moroccan, Mediterranean, Middle Eastern, Tunisian",,,
L’ardoise,https://www.tripadvisor.in//Restaurant_Review-g196537-d17780603-Reviews-L_ardoise-Vannes_Morbihan_Brittany.html,"25 B rue du Marechal Leclerc, 56000, Vannes France",+33 9 51 73 27 66, Closed now: ,42,4.5,5.0,4.5,4.5,,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service","French, Healthy",,,
Le Scoop,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331883-Reviews-Le_Scoop-Vannes_Morbihan_Brittany.html,"60 rue Theophraste Renaudot, 56000, Vannes France",+33 2 97 40 39 77, Closed now: ,77,4.0,4.0,4.5,4.5,,Lunch,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service","French, Bar, Pub",,,
Buns - Vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d25071640-Reviews-Buns_Vannes-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Cinque5se,https://www.tripadvisor.in//Restaurant_Review-g196537-d24104448-Reviews-Cinque5se-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Pizzeria Grill Capri,https://www.tripadvisor.in//Restaurant_Review-g196537-d4261458-Reviews-Pizzeria_Grill_Capri-Vannes_Morbihan_Brittany.html,"11 Place de la Liberation 56000, 56000, Vannes France",+33 2 97 40 32 33, Closed now: ,81,4.0,4.0,4.0,4.0,3.5,"Lunch, Dinner",,European,Vegetarian Friendly,,
Chez Fred,https://www.tripadvisor.in//Restaurant_Review-g196537-d12458087-Reviews-Chez_Fred-Vannes_Morbihan_Brittany.html,"29 Place des Lices, 56000, Vannes France",+33 6 33 34 62 35, Closed now: ,36,4.5,3.5,4.0,3.5,,"After-hours, Drinks, Lunch","Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Table Service, Highchairs Available","French, Wine Bar, Bar",,,
Le Corlazo,https://www.tripadvisor.in//Restaurant_Review-g196537-d8488838-Reviews-Le_Corlazo-Vannes_Morbihan_Brittany.html,"5 Allee du Dr Francois Salomon 5min From The City Center Close To The Beach And Pool, 56000, Vannes France",+33 2 97 63 24 43, Closed now: ,286,3.5,3.5,3.5,3.5,,"Lunch, Drinks",,French,,13.0,23.0
insTinct,https://www.tripadvisor.in//Restaurant_Review-g196537-d25976775-Reviews-InsTinct-Vannes_Morbihan_Brittany.html,"11, Place de la Liberation, 56000, Vannes France",+33 2 97 26 92 40,,37,4.5,4.5,4.5,4.0,4.0,"Lunch, Dinner","Reservations, Table Service, Seating",French,,,
Au Tableau,https://www.tripadvisor.in//Restaurant_Review-g196537-d3916427-Reviews-Au_Tableau-Vannes_Morbihan_Brittany.html,"7 rue Jean Perrin, 56000, Vannes France",+33 2 97 68 18 79, Open now: ,103,4.0,3.5,4.0,4.0,3.0,"Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",French,,,
Les Nenettes,https://www.tripadvisor.in//Restaurant_Review-g196537-d10258509-Reviews-Les_Nenettes-Vannes_Morbihan_Brittany.html,"4 Place des Lices Halles Des Lices, 56000, Vannes France",+33 7 87 00 15 17, Closed now: ,30,5.0,5.0,5.0,5.0,,"Breakfast, Lunch, Drinks",Wheelchair Accessible,,,5.0,14.0
Cafe de la Poissonnerie,https://www.tripadvisor.in//Restaurant_Review-g196537-d4752958-Reviews-Cafe_de_la_Poissonnerie-Vannes_Morbihan_Brittany.html,"21 Place de la Poissonnerie, 56000, Vannes France",+33 2 97 47 15 58, Closed now: ,91,4.0,4.0,3.5,4.5,4.0,"Lunch, Dinner","Outdoor Seating, Seating, Serves Alcohol, Table Service",French,,,
Saveurs Orientales,https://www.tripadvisor.in//Restaurant_Review-g196537-d21196991-Reviews-Saveurs_Orientales-Vannes_Morbihan_Brittany.html,"16 rue Hoche, 56000, Vannes France",+33 9 88 40 00 19,,22,4.5,4.5,4.0,4.5,,"Dinner, Lunch","Reservations, Seating, Table Service","Lebanese, Middle Eastern, Cuban, Healthy, Caribbean, Mediterranean",,,
DeDaLe Rive Gauche,https://www.tripadvisor.in//Restaurant_Review-g196537-d15002507-Reviews-DeDaLe_Rive_Gauche-Vannes_Morbihan_Brittany.html,"8 rue du Commerce, 56000, Vannes France",Improve this listing, Closed now: ,34,4.5,,4.5,5.0,,,"Seating, Serves Alcohol","Bar, Cafe",,,
Bistrot Makan,https://www.tripadvisor.in//Restaurant_Review-g196537-d26681184-Reviews-Bistrot_Makan-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Brasserie des Halles,https://www.tripadvisor.in//Restaurant_Review-g196537-d1882785-Reviews-Brasserie_des_Halles-Vannes_Morbihan_Brittany.html,"9 rue des Halles, 56000, Vannes France",+33 2 97 54 08 34, Closed now: ,875,3.5,3.5,3.5,3.5,3.5,"Lunch, Dinner, After-hours","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service","French, European",,,
Brasserie Edgar,https://www.tripadvisor.in//Restaurant_Review-g196537-d1208881-Reviews-Brasserie_Edgar-Vannes_Morbihan_Brittany.html,"Parc du Golfe 19 rue Daniel Gilard, 56000, Vannes France",+33 2 97 40 68 08, Closed now: ,315,3.5,3.5,4.0,3.5,3.5,"Lunch, Dinner","Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service","French, Bar, European",,,
L'ottoman,https://www.tripadvisor.in//Restaurant_Review-g196537-d10033352-Reviews-L_ottoman-Vannes_Morbihan_Brittany.html,"61 B rue du Vincin, 56000, Vannes France",+33 2 97 44 84 59,,29,4.5,5.0,5.0,5.0,,"Lunch, Dinner","Takeout, Seating, Wheelchair Accessible, Reservations, Table Service","Fast food, Turkish, Middle Eastern",,,
L'Oriental,https://www.tripadvisor.in//Restaurant_Review-g196537-d9734315-Reviews-L_Oriental-Vannes_Morbihan_Brittany.html,"60 avenue de Verdun, 56000, Vannes France",+33 9 84 28 75 52, Closed now: ,64,4.0,4.5,4.5,4.5,,,,"Moroccan, Middle Eastern, Mediterranean, Egyptian",Halal,5.0,30.0
Francois,https://www.tripadvisor.in//Restaurant_Review-g196537-d21140179-Reviews-Francois-Vannes_Morbihan_Brittany.html,"6 Place des Lices, 56000, Vannes France",+33 6 75 77 87 53,,29,4.5,5.0,4.5,4.5,,,,French,,,
O' Petit Gout de,https://www.tripadvisor.in//Restaurant_Review-g196537-d14180831-Reviews-O_Petit_Gout_de-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le Cardinal,https://www.tripadvisor.in//Restaurant_Review-g196537-d23557859-Reviews-Le_Cardinal-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Roadside Vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d17451996-Reviews-Roadside_Vannes-Vannes_Morbihan_Brittany.html,"135 avenue de la Marne, 56000, Vannes France",+33 2 97 41 43 83, Open now: ,65,4.0,3.5,3.5,3.5,,"Lunch, Dinner, Drinks",,"American, Fast food",,5.0,12.0
Les Potes au Feu,https://www.tripadvisor.in//Restaurant_Review-g196537-d6482181-Reviews-Les_Potes_au_Feu-Vannes_Morbihan_Brittany.html,"7 B rue d Alsace, 56000, Vannes France",+33 9 66 87 15 80, Closed now: ,56,4.5,4.5,4.0,4.0,,,,French,"Vegan Options, Vegetarian Friendly, Gluten Free Options",9.0,18.0
LE PIRENN,https://www.tripadvisor.in//Restaurant_Review-g196537-d5500911-Reviews-LE_PIRENN-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Citron Et Melon D'eau,https://www.tripadvisor.in//Restaurant_Review-g196537-d21233594-Reviews-Citron_Et_Melon_D_eau-Vannes_Morbihan_Brittany.html,"8 rue Saint Nicolas, 56000, Vannes France",Improve this listing,,23,4.5,5.0,5.0,4.5,,Lunch,"Seating, Table Service, Reservations","French, Contemporary",,,
Be Good'n Burger,https://www.tripadvisor.in//Restaurant_Review-g196537-d19841429-Reviews-Be_Good_n_Burger-Vannes_Morbihan_Brittany.html,"18 rue Saint Patern, 56000, Vannes France",+33 2 97 47 85 33,,31,,,,,,"Lunch, Dinner, After-hours, Drinks","Reservations, Seating, Table Service",American,,,
La Saigonnaise,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331671-Reviews-La_Saigonnaise-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
La Belle Epoque,https://www.tripadvisor.in//Restaurant_Review-g196537-d25045467-Reviews-La_Belle_Epoque-Vannes_Morbihan_Brittany.html,"3 rue Henri Navier Luscanen, 56000, Vannes France",Improve this listing, Open now: ,20,4.5,4.0,4.0,3.5,4.0,"Lunch, Dinner","Reservations, Seating, Accepts Credit Cards, Table Service",French,,,
Poissonnerie du port,https://www.tripadvisor.in//Restaurant_Review-g196537-d26305653-Reviews-Poissonnerie_du_port-Vannes_Morbihan_Brittany.html,"10 Rue Carnot, 56000, Vannes France",+33 9 81 25 17 07,,11,5.0,5.0,4.5,5.0,5.0,"Lunch, Dinner, After-hours, Drinks",,"Seafood, Diner",,,
L'antidote,https://www.tripadvisor.in//Restaurant_Review-g196537-d23599862-Reviews-L_antidote-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
L'iberico,https://www.tripadvisor.in//Restaurant_Review-g196537-d23486744-Reviews-L_iberico-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Au P'tit Marmiton,https://www.tripadvisor.in//Restaurant_Review-g1158736-d12326787-Reviews-Au_P_tit_Marmiton-Ploeren_Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
La Boucherie,https://www.tripadvisor.in//Restaurant_Review-g196537-d3571094-Reviews-La_Boucherie-Vannes_Morbihan_Brittany.html,"Rue Gay Lussac, 56000, Vannes France",+33 2 97 46 03 04, Closed now: ,331,3.5,3.5,3.5,3.5,3.0,"Lunch, Dinner, After-hours","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service","French, Steakhouse, Bar, Grill",,,
Crapule,https://www.tripadvisor.in//Restaurant_Review-g196537-d26250325-Reviews-Crapule-Vannes_Morbihan_Brittany.html,"3, Rue Porte Poterne, 56000, Vannes France",0981472019,,16,4.5,4.5,4.5,4.5,,"Lunch, Dinner, After-hours, Drinks","Reservations, Table Service",French,,,
Cafe Ferdinand,https://www.tripadvisor.in//Restaurant_Review-g196537-d20317060-Reviews-Cafe_Ferdinand-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Kuta,https://www.tripadvisor.in//Restaurant_Review-g196537-d17440890-Reviews-Kuta-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le Cafe de Conleau,https://www.tripadvisor.in//Restaurant_Review-g196537-d3534706-Reviews-Le_Cafe_de_Conleau-Vannes_Morbihan_Brittany.html,"10 allee des Freres Cadoret Presqu'ile de Conleau, 56000, Vannes France",+33 2 97 63 47 47, Closed now: ,402,3.5,3.5,3.5,3.5,3.0,"Lunch, Dinner","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service","French, European",,,
Le Quatre - Le 4,https://www.tripadvisor.in//Restaurant_Review-g196537-d4680266-Reviews-Le_Quatre_Le_4-Vannes_Morbihan_Brittany.html,"3 Place Henri IV, 56000, Vannes France",+33 2 97 47 58 09,,324,3.5,3.5,3.5,3.5,3.0,"Lunch, Dinner",,"French, European",Vegetarian Friendly,,
Columbus Cafe & Co,https://www.tripadvisor.in//Restaurant_Review-g196537-d8498724-Reviews-Columbus_Cafe_Co-Vannes_Morbihan_Brittany.html,"11, Rue Du Mene, 56000, Vannes France",+33 2 97 60 09 07, Open now: ,43,4.0,4.5,4.5,4.0,,"Breakfast, Lunch",,Cafe,,4.0,8.0
Le Chatelet,https://www.tripadvisor.in//Restaurant_Review-g196537-d25275281-Reviews-Le_Chatelet-Vannes_Morbihan_Brittany.html,"27 rue des Halles, 56000, Vannes France",Improve this listing,,8,,,,,,,Reservations,French,,,
Cap Ouest,https://www.tripadvisor.in//Restaurant_Review-g196537-d3534178-Reviews-Cap_Ouest-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Cote Patio,https://www.tripadvisor.in//Restaurant_Review-g196537-d4088206-Reviews-Cote_Patio-Vannes_Morbihan_Brittany.html,"6 Place de la Liberation Entrée par le sas de l'hôtel, 56000, Vannes France",+33 2 97 63 20 20, Closed now: ,44,4.0,4.0,4.0,3.5,,"Dinner, Breakfast, Drinks",,"Bar, European, Contemporary",,10.0,32.0
Le gwened,https://www.tripadvisor.in//Restaurant_Review-g196537-d5800189-Reviews-Le_gwened-Vannes_Morbihan_Brittany.html,"Kerluherne, 56000, Vannes France",+33 2 90 73 33 32, Open now: ,21,4.5,4.0,4.5,4.5,,"Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Table Service",French,,,
A l'Aise Breizh Cafe,https://www.tripadvisor.in//Restaurant_Review-g196537-d1860175-Reviews-A_l_Aise_Breizh_Cafe-Vannes_Morbihan_Brittany.html,"4 rue du Commerce Port de Plaisance, 56000, Vannes France",+33 2 97 68 15 89, Open now: ,673,3.5,3.5,3.5,3.5,3.5,"Lunch, Dinner, Brunch, After-hours, Drinks",,"French, Bar, European",,11.0,29.0
Saveurs du Monde,https://www.tripadvisor.in//Restaurant_Review-g1158736-d6019882-Reviews-Saveurs_du_Monde-Ploeren_Vannes_Morbihan_Brittany.html,"7, avenue Eric Tabarly, 56880 Ploeren, Vannes France",+33 2 97 61 12 55,,17,4.5,5.0,5.0,4.5,,"Lunch, Dinner","Takeout, Reservations, Seating, Wheelchair Accessible, Table Service","Middle Eastern, Afghan",,,
Restaurant Vietnamien Huế,https://www.tripadvisor.in//Restaurant_Review-g196537-d26125568-Reviews-Restaurant_Vietnamien_Hu-Vannes_Morbihan_Brittany.html,"35 Rue Marechal Leclerc, 56000, Vannes France",+33 2 97 67 98 51, Closed now: ,8,,,,,,"Lunch, Dinner","Reservations, Takeout, Serves Alcohol, Wine and Beer, Accepts Visa, Accepts Credit Cards, Table Service, Dog Friendly",Vietnamese,,,
LeYeti,https://www.tripadvisor.in//Restaurant_Review-g196537-d4256062-Reviews-LeYeti-Vannes_Morbihan_Brittany.html,"78 boulevard de la Paix, 56000, Vannes France",+33 7 66 67 88 05, Closed now: ,100,3.5,3.5,3.5,3.0,,"Dinner, After-hours, Drinks",,French,,19.0,28.0
Le Rest’O,https://www.tripadvisor.in//Restaurant_Review-g196537-d24014387-Reviews-Le_Rest_O-Vannes_Morbihan_Brittany.html,"4 rue Aristide Boucicaut, 56000, Vannes France",+33 2 97 01 00 32, Closed now: ,15,,,,,,"Dinner, Lunch","Reservations, Seating, Table Service, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Playgrounds, Dog Friendly, Family style",French,,,
Tablapizza,https://www.tripadvisor.in//Restaurant_Review-g196537-d3859268-Reviews-Tablapizza-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Dans Un Autre Monde,https://www.tripadvisor.in//Restaurant_Review-g196537-d5865713-Reviews-Dans_Un_Autre_Monde-Vannes_Morbihan_Brittany.html,"6 rue de l Etang, 56000, Vannes France",+33 2 97 47 81 66, Closed now: ,12,,,,,,Dinner,,"Bar, Pub",,,
Cafe Arthur,https://www.tripadvisor.in//Restaurant_Review-g196537-d15051913-Reviews-Cafe_Arthur-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Alain Chartier Glacier,https://www.tripadvisor.in//Restaurant_Review-g196537-d23031633-Reviews-Alain_Chartier_Glacier-Vannes_Morbihan_Brittany.html,"25 Place des Lices, 56000, Vannes France",+33 2 97 01 93 78,,14,,,,,,,,French,,,
Cook'si,https://www.tripadvisor.in//Restaurant_Review-g196537-d23987104-Reviews-Cook_si-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Yamu Cuisine + Foodstore,https://www.tripadvisor.in//Restaurant_Review-g196537-d21173902-Reviews-Yamu_Cuisine_Foodstore-Vannes_Morbihan_Brittany.html,"25 avenue Saint Symphorien, 56000, Vannes France",+33 2 97 68 58 19,Closes in 11 min:  See all hours,8,,,,,,"Breakfast, Lunch, Drinks",,"Italian, Spanish, Asian, Middle Eastern",,12.0,22.0
Le Bayou,https://www.tripadvisor.in//Restaurant_Review-g1158736-d8300177-Reviews-Le_Bayou-Ploeren_Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le 12,https://www.tripadvisor.in//Restaurant_Review-g196537-d23278182-Reviews-Le_12_14-Vannes_Morbihan_Brittany.html,"4 rue Alfred Kastler, 56000, Vannes France",+33 6 25 67 36 20, Closed now: ,11,,,,,,"Lunch, Dinner","Reservations, Seating, Accepts Credit Cards, Table Service",French,,,
S7ven,https://www.tripadvisor.in//Restaurant_Review-g196537-d19655634-Reviews-S7ven-Vannes_Morbihan_Brittany.html,"7 rue Lepine, 56000, Vannes France",+33 2 97 41 66 85, Closed now: ,15,,,,,,"Lunch, Breakfast, Dinner, After-hours, Drinks","Reservations, Seating, Table Service, Takeout, Outdoor Seating, Private Dining, Parking Available, Street Parking, Validated Parking, Television, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Visa, Accepts Credit Cards, Family style, Sports bars","Mediterranean, Spanish, Dining bars",,,
Breizh Pizza Cliscouet Vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d8757612-Reviews-Breizh_Pizza_Cliscouet_Vannes-Vannes_Morbihan_Brittany.html,"8 avenue de Suffren, 56000, Vannes France",+33 2 97 40 87 88,,13,,,,,,Dinner,,"Italian, Pizza",,5.0,13.0
Piou Piou,https://www.tripadvisor.in//Restaurant_Review-g196537-d15207628-Reviews-Piou_Piou-Vannes_Morbihan_Brittany.html,"10 rue du Docteur Joseph Audic, 56000, Vannes France",+33 2 97 13 08 77,,10,4.5,4.5,4.5,4.5,,,Reservations,French,,,
La Petite Vitesse,https://www.tripadvisor.in//Restaurant_Review-g196537-d11993828-Reviews-La_Petite_Vitesse-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Brooklyn Cafe,https://www.tripadvisor.in//Restaurant_Review-g196537-d4240831-Reviews-Brooklyn_Cafe-Vannes_Morbihan_Brittany.html,"14 rue Jacques Rueff Atlanville, 56000, Vannes France",+33 2 97 46 27 15, Open now: ,106,3.5,3.5,3.5,3.5,4.0,"Dinner, Lunch","Seating, Wheelchair Accessible, Free Wifi, Accepts Credit Cards, Table Service, Reservations, Serves Alcohol",American,,,
Japan Cafe,https://www.tripadvisor.in//Restaurant_Review-g196537-d17781479-Reviews-Japan_Cafe-Vannes_Morbihan_Brittany.html,"16 rue des Halles, 56000, Vannes France",+33 9 86 75 52 56, Closed now: ,16,4.5,5.0,5.0,4.5,,Drinks,,"Cafe, Japanese sweets parlour",,4.0,6.0
Creperie de La Tour Trompette,https://www.tripadvisor.in//Restaurant_Review-g196537-d3411180-Reviews-Creperie_de_La_Tour_Trompette-Vannes_Morbihan_Brittany.html,"4, Rue Venelle, 56000, Vannes France",+33 2 97 47 15 12, Closed now: ,884,3.5,3.5,3.5,3.0,3.0,"Lunch, Dinner, After-hours","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service","French, European",,,
Les Toques du Bocal,https://www.tripadvisor.in//Restaurant_Review-g196537-d19921261-Reviews-Les_Toques_du_Bocal-Vannes_Morbihan_Brittany.html,"2 rue Lepine Parc Lann, 56000, Vannes France",+33 9 83 20 41 51,,9,,,,,,,Reservations,,,,
La Glaneuse,https://www.tripadvisor.in//Restaurant_Review-g196537-d23550381-Reviews-La_Glaneuse-Vannes_Morbihan_Brittany.html,"10 rue Carnot, 56000, Vannes France",+33 2 97 68 82 15, Closed now: ,7,,,,,,"Breakfast, Lunch, Brunch, Drinks","Takeout, Reservations, Outdoor Seating, Street Parking, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly",French,,,
La Bicyclette,https://www.tripadvisor.in//Restaurant_Review-g196537-d7017412-Reviews-La_Bicyclette-Vannes_Morbihan_Brittany.html,"6 allee Gabriel Lippmann, 56000, Vannes France",+33 2 97 42 40 55,,32,4.0,4.5,4.5,4.0,,Lunch,,French,Vegetarian Friendly,,
Les Josephine,https://www.tripadvisor.in//Restaurant_Review-g196537-d24110181-Reviews-Les_Josephine-Vannes_Morbihan_Brittany.html,"8 rue des Orfevres, 56000, Vannes France",+33 2 97 47 28 18, Closed now: ,41,3.5,3.5,3.5,3.5,,"Dinner, Lunch","Reservations, Seating, Table Service",French,,,
Le Comptoir De Jeanne,https://www.tripadvisor.in//Restaurant_Review-g196537-d23966903-Reviews-Le_Comptoir_De_Jeanne-Vannes_Morbihan_Brittany.html,"6 Place du Poids Public, 56000, Vannes France",+33 2 97 47 29 18, Closed now: ,32,3.5,3.5,4.5,3.5,,"Lunch, Dinner","Reservations, Seating, Accepts Credit Cards, Table Service","French, Seafood, European",,,
Les valseuses,https://www.tripadvisor.in//Restaurant_Review-g196537-d10342667-Reviews-Les_valseuses-Vannes_Morbihan_Brittany.html,"12 rue de la Porte Poterne, 56000, Vannes France",+33 2 97 26 86 15,,49,4.0,3.5,3.5,4.0,,,"Seating, Serves Alcohol, Accepts Credit Cards","French, Pub",,,
Flunch,https://www.tripadvisor.in//Restaurant_Review-g196537-d12124139-Reviews-Flunch-Vannes_Morbihan_Brittany.html,"Rue Aristide Boucicaut Centre Commercial Leclerc, 56000, Vannes France",+33 2 97 46 61 77, Open now: ,50,3.5,3.5,4.0,3.5,,"Lunch, Dinner",,French,,11.0,20.0
Pizza Deluda,https://www.tripadvisor.in//Restaurant_Review-g196537-d24088868-Reviews-Pizza_Deluda-Vannes_Morbihan_Brittany.html,"Esplanade Jean Bertho Rue Guillaume Le Bartz, 56000, Vannes France",+33 7 65 66 29 94, Closed now: ,6,,,,,,Dinner,,"Italian, Pizza",,,
Le Molux,https://www.tripadvisor.in//Restaurant_Review-g196537-d26686197-Reviews-Le_Molux-Vannes_Morbihan_Brittany.html,"28 Rue Du Port, 56000, Vannes France",0297474834, Closed now: ,5,,,,,,"Lunch, Dinner","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Dog Friendly",Seafood,,,
TY Prat,https://www.tripadvisor.in//Restaurant_Review-g196537-d7189013-Reviews-TY_Prat-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le Petit Marmiton,https://www.tripadvisor.in//Restaurant_Review-g1158736-d3687346-Reviews-Le_Petit_Marmiton-Ploeren_Vannes_Morbihan_Brittany.html,"Zone D Activite de Luscanen, 56880 Ploeren, Vannes France",+33 2 97 46 43 38,,14,4.0,3.5,4.0,3.5,,"Lunch, Dinner","Reservations, Seating, Table Service, Wheelchair Accessible",French,,,
Le Palais Du Tajmahal,https://www.tripadvisor.in//Restaurant_Review-g196537-d25078433-Reviews-Le_Palais_Du_Tajmahal-Vannes_Morbihan_Brittany.html,"11 rue de la Fontaine 11, 56000, Vannes France",Improve this listing,,4,,,,,,,,Indian,,,
Le Bistrot de la Gare,https://www.tripadvisor.in//Restaurant_Review-g196537-d7239464-Reviews-Le_Bistrot_de_la_Gare-Vannes_Morbihan_Brittany.html,"28 avenue Favrel Et Lincy Station, 56000, Vannes France",+33 2 97 62 03 08, Closed now: ,63,3.5,3.5,3.5,3.5,,"Lunch, Dinner","Accepts Mastercard, Accepts Visa, Reservations, Seating, Full Bar, Serves Alcohol, Accepts Credit Cards, Table Service",French,,,
Campanile Vannes Restaurant,https://www.tripadvisor.in//Restaurant_Review-g196537-d6702580-Reviews-Campanile_Vannes_Restaurant-Vannes_Morbihan_Brittany.html,"Zac du Chapeau Rouge, 56000, Vannes France",+33 2 97 45 55 19, Closed now: ,43,3.5,3.0,3.5,3.0,,"Breakfast, Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",French,,,
Brochettes d'Or,https://www.tripadvisor.in//Restaurant_Review-g196537-d6362959-Reviews-Brochettes_d_Or-Vannes_Morbihan_Brittany.html,"2 Place Maurice Marchais, 56000, Vannes France",+33 2 97 60 34 12,,20,4.0,4.0,4.5,4.0,,"Lunch, Dinner","Takeout, Seating, Table Service, Reservations","Fast food, Turkish, Middle Eastern",,,
Le Cafe D'eleonore - Jean Galloyer,https://www.tripadvisor.in//Restaurant_Review-g1158736-d21088858-Reviews-Le_Cafe_D_eleonore_Jean_Galloyer-Ploeren_Vannes_Morbihan_Brittany.html,"14b Avenue Louis De Cadoudal Ploeren, 56880 Ploeren, Vannes France",Improve this listing,,4,,,,,,,,French,,,
La table de Nicole,https://www.tripadvisor.in//Restaurant_Review-g1158736-d6581219-Reviews-La_table_de_Nicole-Ploeren_Vannes_Morbihan_Brittany.html,"22 rue des 2 Moulins, 56880 Ploeren, Vannes France",+33 2 97 62 34 10, Open now: ,8,4.0,4.0,4.0,4.0,,"Lunch, Dinner, Drinks","Wheelchair Accessible, Serves Alcohol, Delivery, Outdoor Seating, Parking Available, Validated Parking, Free off-street parking, Highchairs Available, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Family style",,,11.0,20.0
La Comida,https://www.tripadvisor.in//Restaurant_Review-g196537-d15003428-Reviews-La_Comida-Vannes_Morbihan_Brittany.html,"4 Place des Lices, 56000, Vannes France",+33 6 09 98 60 62,,8,,,,,,,Reservations,Mexican,,,
